10216;MAILLY LE CAMP;10230;;MAILLY LE CAMP;48.6742219512,4.18559230801
10352;STE MAURE;10150;;STE MAURE;48.3566905258,4.07198737935
10223;MARCILLY LE HAYER;10290;;MARCILLY LE HAYER;48.3312815098,3.64419365693
10352;STE MAURE;10150;CULOISON;STE MAURE;48.3566905258,4.07198737935
10228;MATHAUX;10500;;MATHAUX;48.3555193873,4.46117528248
10357;ST PARRES AUX TERTRES;10410;;ST PARRES AUX TERTRES;48.2913084954,4.13302448391
10230;MERGEY;10600;;MERGEY;48.395565383,4.03305791455
10358;ST PARRES LES VAUDES;10260;;ST PARRES LES VAUDES;48.1734919803,4.21620941399
10232;MERREY SUR ARCE;10110;;MERREY SUR ARCE;48.0958413373,4.40492577623
10361;ST REMY SOUS BARBUISE;10700;;ST REMY SOUS BARBUISE;48.4777025802,4.13036926093
10239;MESNIL SELLIERES;10220;;MESNIL SELLIERES;48.3358644177,4.20667057813
10363;ST THIBAULT;10800;;ST THIBAULT;48.2010515888,4.14696728723
10245;MONTAULIN;10270;DAUDES;MONTAULIN;48.2479487774,4.1973065201
10371;SOMMEVAL;10320;;SOMMEVAL;48.159126703,3.95489771109
10262;NEUVILLE SUR SEINE;10250;;NEUVILLE SUR SEINE;48.0346867571,4.40826042704
10377;THIL;10200;;THIL;48.3409418137,4.78858247296
10265;LES NOES PRES TROYES;10420;;LES NOES PRES TROYES;48.3033387671,4.04203482801
10382;TRAINEL;10400;;TRAINEL;48.4140944853,3.45656011239
10268;NOGENT SUR SEINE;10400;;NOGENT SUR SEINE;48.4962576328,3.49983013092
10388;TURGY;10210;;TURGY;48.0300363367,4.05312999836
10274;ORVILLIERS ST JULIEN;10170;;ORVILLIERS ST JULIEN;48.4387695312,3.82249131327
10396;VAUCHASSIS;10190;;VAUCHASSIS;48.2092064967,3.92631536187
10284;PERIGNY LA ROSE;10400;;PERIGNY LA ROSE;48.55364742,3.62433153025
10402;LA VENDUE MIGNOT;10800;;LA VENDUE MIGNOT;48.1456208933,4.10314764777
10285;PERTHES LES BRIENNE;10500;;PERTHES LES BRIENNE;48.4340121047,4.54181585962
10404;VERPILLIERES SUR OURCE;10360;;VERPILLIERES SUR OURCE;48.0406701366,4.5860718335
10290;PLANTY;10160;;PLANTY;48.2679798119,3.65050759721
10409;VILLACERF;10600;;VILLACERF;48.407677761,4.00228117316
10300;POUGY;10240;;POUGY;48.4368741428,4.3487522917
10411;LA VILLE AUX BOIS;10500;;LA VILLE AUX BOIS;48.4038925077,4.68731356148
10306;PROVERVILLE;10200;;PROVERVILLE;48.2326139251,4.67236770859
10417;VILLEMOIRON EN OTHE;10160;;VILLEMOIRON EN OTHE;48.1996782401,3.79189787326
10315;RANCES;10500;;RANCES;48.4620840236,4.55442425435
10418;VILLEMORIEN;10110;;VILLEMORIEN;48.0798060719,4.2947230418
10318;RIGNY LA NONNEUSE;10290;;RIGNY LA NONNEUSE;48.4140043943,3.64891002916
