Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
02758;VAILLY SUR AISNE;02370;;VAILLY SUR AISNE;49.4108623288,3.52012059802
02772;VAUX EN VERMANDOIS;02590;;VAUX EN VERMANDOIS;49.8238668444,3.13578987374
02759;LA VALLEE AU BLE;02140;;LA VALLEE AU BLE;49.8571725081,3.794382858
02773;VAUXTIN;02220;;VAUXTIN;49.3454673056,3.60165884249
02779;VENEROLLES;02510;;VENEROLLES;49.9903433031,3.63008652624
02775;VENDEUIL;02800;;VENDEUIL;49.719870808,3.3449169008
02780;VENIZEL;02200;;VENIZEL;49.3676425771,3.39248543249
02777;VENDIERES;02540;;VENDIERES;48.8731710961,3.44301787703
02794;VEZILLY;02130;;VEZILLY;49.1874443601,3.68274149419
02781;VERDILLY;02400;;VERDILLY;49.0744862502,3.42189905232
02802;LA VILLE AUX BOIS LES DIZY;02340;;LA VILLE AUX BOIS LES DIZY;49.6626572968,3.98152083729
02783;GRAND VERLY;02120;;GRAND VERLY;49.9434199886,3.58138282505
02803;LA VILLE AUX BOIS LES PONTAVERT;02160;;LA VILLE AUX BOIS LES PONTAVERT;49.4265972983,3.85108262844
02785;VERMAND;02490;;VERMAND;49.8839098456,3.15146515668
02807;VILLEQUIER AUMONT;02300;;VILLEQUIER AUMONT;49.6606240148,3.19834244186
02801;VIGNEUX HOCQUET;02340;;VIGNEUX HOCQUET;49.7440393657,3.99489165596
02812;VILLERS HELON;02600;;VILLERS HELON;49.2649355463,3.26786134731
02804;VILLEMONTOIRE;02210;;VILLEMONTOIRE;49.3000199564,3.32189672243
02826;VOULPAIX;02140;;VOULPAIX;49.8387507375,3.83266238617
02805;VILLENEUVE ST GERMAIN;02200;;VILLENEUVE ST GERMAIN;49.3789013616,3.36175815803
02827;VOYENNE;02250;;VOYENNE;49.7158793314,3.73841251024
02806;VILLENEUVE SUR FERE;02130;;VILLENEUVE SUR FERE;49.1706936984,3.47593842959
02831;WATIGNY;02830;;WATIGNY;49.9163639357,4.20040317785
02809;VILLERS AGRON AIGUIZY;02130;;VILLERS AGRON AIGUIZY;49.1632072457,3.71636244573
03006;ARFEUILLES;03120;;ARFEUILLES;46.1431515084,3.74329110559
02819;VINCY REUIL ET MAGNY;02340;;VINCY REUIL ET MAGNY;49.7140295341,4.04512127967
03017;BARRAIS BUSSOLLES;03120;;BARRAIS BUSSOLLES;46.2837408507,3.69766013244
02822;VIVIERES;02600;;VIVIERES;49.3051885401,3.09196075945
03028;BILLEZOIS;03120;;BILLEZOIS;46.2094826701,3.57688265252
02834;WISSIGNICOURT;02320;;WISSIGNICOURT;49.5301896159,3.44102073707
03029;BILLY;03260;;BILLY;46.2315363963,3.43994128747
03008;ARRONNES;03250;;ARRONNES;46.0520854633,3.57527535836
03039;BRESNAY;03210;;BRESNAY;46.4335692397,3.24899330539
03012;AUTRY ISSARDS;03210;;AUTRY ISSARDS;46.5445755503,3.12273629246
03049;CESSET;03500;;CESSET;46.2993847548,3.19908944342
03014;AVRILLY;03130;;AVRILLY;46.332137774,3.96662161873
03054;CHAPEAU;03340;;CHAPEAU;46.4922208672,3.51548779612
03051;CHAMBERAT;03370;;CHAMBERAT;46.4139665556,2.42552132856
03056;LA CHAPELLE;03300;;LA CHAPELLE;46.0889341496,3.5877712092
03052;CHAMBLET;03170;;CHAMBLET;46.3283879186,2.71331446339
03057;LA CHAPELLE AUX CHASSES;03230;;LA CHAPELLE AUX CHASSES;46.6598285232,3.53021703178
03068;CHATELUS;03120;;CHATELUS;46.1980382828,3.72511111092
03060;CHARMEIL;03110;;CHARMEIL;46.1598815241,3.39334670689
03087;COULEUVRE;03320;;COULEUVRE;46.6740683179,2.89685534446
03067;CHATELPERRON;03220;;CHATELPERRON;46.3968658739,3.63313760873
03090;COUZON;03160;;COUZON;46.6443750911,3.11347416578
03077;CHIRAT L EGLISE;03330;;CHIRAT L EGLISE;46.2460009301,3.03251610569
03107;EBREUIL;03450;;EBREUIL;46.1176543632,3.07363121151
03079;CINDRE;03220;;CINDRE;46.3230930256,3.55110289744
03113;FERRIERES SUR SICHON;03250;;FERRIERES SUR SICHON;46.0200050808,3.64850064576
03082;COMMENTRY;03600;;COMMENTRY;46.2787466852,2.74916734673
03116;FOURILLES;03140;;FOURILLES;46.2438583922,3.19784046802
03083;CONTIGNY;03500;;CONTIGNY;46.3463711102,3.31483781041
03132;JALIGNY SUR BESBRE;03220;;JALIGNY SUR BESBRE;46.3770497759,3.59029838546
03085;COULANDON;03000;;COULANDON;46.5546535461,3.24541387326
03134;LAFELINE;03500;;LAFELINE;46.3446298238,3.17548675407
03086;COULANGES;03470;;COULANGES;46.4751096526,3.86330653833
03141;LAVOINE;03250;;LAVOINE;45.9741706627,3.68733506061
03091;CRECHY;03150;;CRECHY;46.2696885601,3.42387984399
03151;LOUROUX DE BEAUNE;03600;;LOUROUX DE BEAUNE;46.2996042062,2.85942062102
03095;CUSSET;03300;;CUSSET;46.1377738304,3.48296708451
03168;MEAULNE VITRAY;03360;VITRAY;MEAULNE VITRAY;46.5959256579,2.62022117679
03099;DEUX CHAISES;03240;;DEUX CHAISES;46.3749069193,3.04059198306
03170;MEILLERS;03210;;MEILLERS;46.5132615599,3.10267194059
03100;DIOU;03290;;DIOU;46.5226236257,3.7367345302
03182;MONTEIGNET SUR L ANDELOT;03800;;MONTEIGNET SUR L ANDELOT;46.1150007655,3.24811283769
03101;DOMERAT;03410;;DOMERAT;46.3681510176,2.54346219645
03183;LE MONTET;03240;;LE MONTET;46.4062028922,3.0541000253
03104;DOYET;03170;;DOYET;46.3433946285,2.79161075003
03184;MONTILLY;03000;;MONTILLY;46.610528559,3.24005745558
03108;ECHASSIERES;03330;;ECHASSIERES;46.1956641038,2.94596916837
03187;MONTOLDRE;03150;;MONTOLDRE;46.3375770064,3.45102443628
03114;LA FERTE HAUTERIVE;03340;;LA FERTE HAUTERIVE;46.396159353,3.3355449517
03190;MOULINS;03000;;MOULINS;46.5624641056,3.32662040221
03115;FLEURIEL;03140;;FLEURIEL;46.2870292399,3.16169451004
03192;NADES;03450;;NADES;46.1542506646,2.96861834904
03117;FRANCHESSE;03160;;FRANCHESSE;46.6436566411,3.03662004358
03194;NAVES;03330;;NAVES;46.1760532799,3.11644371952
03120;GARNAT SUR ENGIEVRE;03230;;GARNAT SUR ENGIEVRE;46.6348166525,3.66797467464
