Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
04204;SENEZ;04270;LE POIL;SENEZ;43.9224978199,6.36903371255
05100;PELLEAUTIER;05000;;PELLEAUTIER;44.5102662977,5.99877739937
04214;TARTONNE;04330;;TARTONNE;44.0784663763,6.3839310068
05106;PRUNIERES;05230;;PRUNIERES;44.5433412641,6.33640431241
04217;THOARD;04380;;THOARD;44.1473006003,6.12401298333
05109;PUY ST PIERRE;05100;;PUY ST PIERRE;44.8973152572,6.60470761793
04226;UVERNET FOURS;04400;FOURS;UVERNET FOURS;44.3191132083,6.67028443403
05111;PUY SANIERES;05200;;PUY SANIERES;44.5556949894,6.43667418858
04227;VACHERES;04110;;VACHERES;43.9467491617,5.63529437
05116;REOTIER;05600;;REOTIER;44.6813566833,6.56457884975
04229;VALBELLE;04200;;VALBELLE;44.1371207692,5.87627669795
05118;VAL BUECH MEOUGE;05300;CHATEAUNEUF DE CHABRE;VAL BUECH MEOUGE;44.2207910151,5.84342231314
04237;LE VERNET;04140;;LE VERNET;44.2766068334,6.40297525512
05118;VAL BUECH MEOUGE;05300;RIBIERS;VAL BUECH MEOUGE;44.2207910151,5.84342231314
04245;VOLX;04130;;VOLX;43.8706676132,5.83153973779
05123;LA ROCHE DES ARNAUDS;05400;;LA ROCHE DES ARNAUDS;44.5838170428,5.96045927972
05004;ANCELLE;05260;;ANCELLE;44.6190703929,6.22962169969
05132;ST BONNET EN CHAMPSAUR;05500;;ST BONNET EN CHAMPSAUR;44.6823269908,6.10286050171
05022;BREZIERS;05190;;BREZIERS;44.4210530909,6.22281621001
05132;ST BONNET EN CHAMPSAUR;05500;LES INFOURNAS;ST BONNET EN CHAMPSAUR;44.6823269908,6.10286050171
05024;VALDOULE;05150;MONTMORIN;VALDOULE;44.4677366709,5.50388863719
05139;LE DEVOLUY;05250;LA CLUSE;LE DEVOLUY;44.6775419763,5.94047368781
05024;VALDOULE;05150;STE MARIE;VALDOULE;44.4677366709,5.50388863719
05139;LE DEVOLUY;05250;ST ETIENNE EN DEVOLUY;LE DEVOLUY;44.6775419763,5.94047368781
05028;CHABESTAN;05400;;CHABESTAN;44.4775755934,5.78305319582
05147;ST JULIEN EN CHAMPSAUR;05500;;ST JULIEN EN CHAMPSAUR;44.6685288872,6.129921943
05044;CREVOUX;05200;;CREVOUX;44.5376065379,6.62470372696
05149;ST LEGER LES MELEZES;05260;;ST LEGER LES MELEZES;44.6468761009,6.21171867053
05047;EOURRES;05300;;EOURRES;44.2138373403,5.72894553965
05166;SERRES;05700;;SERRES;44.4213858087,5.71549751124
05048;L EPINE;05700;;L EPINE;44.4248796516,5.61094352039
05168;SIGOYER;05130;;SIGOYER;44.4802333692,5.96951792615
05063;LA GRAVE;05320;;LA GRAVE;45.0601102401,6.28406977587
05176;VALSERRES;05130;;VALSERRES;44.4892842965,6.13789393583
05070;LARAGNE MONTEGLIN;05300;;LARAGNE MONTEGLIN;44.3340345431,5.81650957133
06004;ANTIBES;06160;CAP D ANTIBES;ANTIBES;43.587465146,7.10635418256
05074;LETTRET;05130;;LETTRET;44.4811639998,6.07258452754
06004;ANTIBES;06600;;ANTIBES;43.587465146,7.10635418256
05075;MANTEYER;05400;;MANTEYER;44.5333321119,5.94989667477
06004;ANTIBES;06600;LA FONTONNE;ANTIBES;43.587465146,7.10635418256
05076;MEREUIL;05700;;MEREUIL;44.3839741469,5.71259098721
06021;BONSON;06830;;BONSON;43.8622934824,7.1827870979
05090;LA MOTTE EN CHAMPSAUR;05500;;LA MOTTE EN CHAMPSAUR;44.7407367523,6.12930149849
06025;LE BROC;06510;;LE BROC;43.8147822086,7.15907633922
05102;LA PIARRE;05700;;LA PIARRE;44.4784087163,5.64803205429
06031;CANTARON;06340;;CANTARON;43.7712030999,7.31316892728
05104;POLIGNY;05500;;POLIGNY;44.6848876675,6.03431860597
06044;LA COLLE SUR LOUP;06480;;LA COLLE SUR LOUP;43.6871701387,7.09773643833
05127;ROUSSET;05190;;ROUSSET;44.4843785512,6.2666913091
06049;COURMES;06620;;COURMES;43.7525533793,7.01737606418
05132;ST BONNET EN CHAMPSAUR;05500;BENEVENT ET CHARBILLAC;ST BONNET EN CHAMPSAUR;44.6823269908,6.10286050171
06060;FALICON;06950;;FALICON;43.752536584,7.26554536957
05135;STE COLOMBE;05700;;STE COLOMBE;44.2889272211,5.66834974647
06065;LA GAUDE;06610;;LA GAUDE;43.721423765,7.16039926444
05142;ST FIRMIN;05800;;ST FIRMIN EN VALGODEMARD;44.7934858148,6.02571058056
06072;ILONSE;06420;;ILONSE;44.0347982787,7.08976475841
05156;ST SAUVEUR;05200;;ST SAUVEUR;44.5365820455,6.52920301665
06075;LEVENS;06670;PLAN DU VAR;LEVENS;43.8500976014,7.24033027327
05159;SALEON;05300;;SALEON;44.3201551058,5.77527169353
06080;MARIE;06420;;MARIE;44.0346077069,7.15744653179
05169;SORBIERS;05150;;SORBIERS;44.3625387102,5.57325324553
06084;MOUANS SARTOUX;06370;;MOUANS SARTOUX;43.6185304023,6.96494426706
05179;VEYNES;05400;;VEYNES;44.5571529708,5.82286002514
06085;MOUGINS;06250;;MOUGINS;43.5961410556,7.00129444919
05183;VILLAR ST PANCRACE;05100;;VILLAR ST PANCRACE;44.8395685825,6.65048294053
06088;NICE;06100;;NICE;43.7119992661,7.23826889465
06003;ANDON;06750;THORENC;ANDON;43.7769856778,6.82318647257
06088;NICE;06200;ST ISIDORE;NICE;43.7119992661,7.23826889465
06004;ANTIBES;06160;JUAN LES PINS;ANTIBES;43.587465146,7.10635418256
06088;NICE;06200;ST ROMAN DE BELLET;NICE;43.7119992661,7.23826889465
06005;ASCROS;06260;;ASCROS;43.9193423,7.01550684755
06094;PEONE;06470;VALBERG;PEONE;44.1299250439,6.92098583862
06010;LE BAR SUR LOUP;06620;;LE BAR SUR LOUP;43.6992943088,6.96272779051
06103;ROQUEBILLIERE;06450;;ROQUEBILLIERE;44.0270951827,7.29269467197
06013;BELVEDERE;06450;;BELVEDERE;44.0564872239,7.37383120022
06105;ROQUEFORT LES PINS;06330;;ROQUEFORT LES PINS;43.6741732535,7.0530127273
06027;CAGNES SUR MER;06800;;CAGNES SUR MER;43.6715162078,7.15275703379
06107;LA ROQUE EN PROVENCE;06910;;LA ROQUE EN PROVENCE;43.8491534174,6.99011980424
06032;CAP D AIL;06320;;CAP D AIL;43.7247392327,7.40161617522
06109;LA ROQUETTE SUR VAR;06670;;LA ROQUETTE SUR VAR;43.8332735566,7.20466243305
06035;CASTELLAR;06500;;CASTELLAR;43.8220566609,7.49891571145
06111;ROURE;06420;;ROURE;44.1189138677,7.06680296507
06036;CASTILLON;06500;;CASTILLON;43.8361451105,7.46455247487
06114;ST ANDRE DE LA ROCHE;06730;;ST ANDRE DE LA ROCHE;43.745876244,7.28871372647
06039;CHATEAUNEUF VILLEVIEILLE;06390;;CHATEAUNEUF VILLEVIEILLE;43.7999098278,7.29412423176
06116;ST AUBAN;06850;;ST AUBAN;43.8309790119,6.74006506104
06045;COLLONGUES;06910;;COLLONGUES;43.8935981177,6.86383142444
06120;ST ETIENNE DE TINEE;06660;AURON;ST ETIENNE DE TINEE;44.2491492809,6.92452445063
06056;ENTRAUNES;06470;;ENTRAUNES;44.2146960621,6.76292204018
06122;ST JEANNET;06640;;ST JEANNET;43.758845389,7.14073211756
06056;ENTRAUNES;06470;ESTEING;ENTRAUNES;44.2146960621,6.76292204018
06124;ST LEGER;06260;;ST LEGER;44.0026597689,6.82309684994
06058;ESCRAGNOLLES;06460;;ESCRAGNOLLES;43.7294033373,6.7833728891
06127;ST MARTIN VESUBIE;06450;;ST MARTIN VESUBIE;44.1020722047,7.30244071608
06066;GILETTE;06830;;GILETTE;43.8481962471,7.1613234113
06133;SAUZE;06470;;SAUZE;44.0852199876,6.80072324584
06067;GORBIO;06500;;GORBIO;43.7860281963,7.44603824995
06134;SERANON;06750;LE LOGIS DU PIN;SERANON;43.7656662777,6.6904329696
06068;GOURDON;06620;;GOURDON;43.7242493778,6.96356065093
06136;SOSPEL;06380;;SOSPEL;43.8844607415,7.44794904955
06069;GRASSE;06130;LE PLAN DE GRASSE;GRASSE;43.655639428,6.93190508233
06150;LA TURBIE;06320;;LA TURBIE;43.7451419024,7.39791811712
06070;GREOLIERES;06620;;GREOLIERES;43.8070006506,6.93196496167
06151;UTELLE;06450;;UTELLE;43.9273181411,7.23864462941
06071;GUILLAUMES;06470;;GUILLAUMES;44.088068317,6.87493501534
06157;VENCE;06140;;VENCE;43.7384640641,7.10194436087
06073;ISOLA;06420;;ISOLA;44.1872585336,7.07488062255
06162;LA BRIGUE;06430;;LA BRIGUE;44.0714555606,7.65147828925
06074;LANTOSQUE;06450;;LANTOSQUE;43.9706457549,7.30485730116
07001;ACCONS;07160;;ACCONS;44.8885328213,4.39242968382
06078;MALAUSSENE;06710;;MALAUSSENE;43.9153232562,7.14112063451
07003;AIZAC;07530;;AIZAC;44.7196762414,4.3306729158
06079;MANDELIEU LA NAPOULE;06210;;MANDELIEU LA NAPOULE;43.5380510468,6.91808936542
07004;AJOUX;07000;;AJOUX;44.7550573905,4.48565370819
06083;MENTON;06500;;MENTON;43.7908233727,7.49365612374
07006;ALBON D ARDECHE;07190;;ALBON D ARDECHE;44.8152938105,4.42503897561
06089;OPIO;06650;;OPIO;43.6575610719,7.00860864158
07013;ARDOIX;07290;;ARDOIX;45.1913605655,4.74320427692
06090;PEGOMAS;06580;;PEGOMAS;43.5865553156,6.92224837943
07028;BEAULIEU;07460;;BEAULIEU;44.3546311078,4.25062082781
06092;PEILLON;06440;;PEILLON;43.7727352898,7.3714797073
07032;BERZEME;07580;;BERZEME;44.6552336996,4.57203294139
06095;PEYMEINADE;06530;;PEYMEINADE;43.6305294544,6.88166520884
07033;BESSAS;07150;;BESSAS;44.3375930033,4.2983262809
06110;ROUBION;06420;;ROUBION;44.1085047639,7.02802973178
07040;BOUCIEU LE ROI;07270;;BOUCIEU LE ROI;45.0288428449,4.68820163954
06113;STE AGNES;06500;;STE AGNES;43.8055344567,7.46128496982
07049;LE CHAMBON;07160;;LE CHAMBON;44.8299065845,4.29925007724
06118;ST CEZAIRE SUR SIAGNE;06530;;ST CEZAIRE SUR SIAGNE;43.6594259137,6.80329376165
07054;CHANEAC;07310;;CHANEAC;44.9300424452,4.30692688194
06130;ST VALLIER DE THIEY;06460;;ST VALLIER DE THIEY;43.696895033,6.85062748704
07056;CHARNAS;07340;;CHARNAS;45.342858843,4.73157804984
06135;SIGALE;06910;;SIGALE;43.8757999129,6.96558618108
07064;LE CHEYLARD;07160;;LE CHEYLARD;44.9076391858,4.42108479359
06138;THEOULE SUR MER;06590;;THEOULE SUR MER;43.4985345439,6.92965248383
07072;COUX;07000;;COUX;44.7432838199,4.62306333755
06142;TOUET DE L ESCARENE;06440;;TOUET DE L ESCARENE;43.8520343234,7.37799210413
07077;DARBRES;07170;;DARBRES;44.6599554077,4.51592801942
06144;LA TOUR;06420;;LA TOUR;43.9626877314,7.19994914649
07092;FREYSSENET;07000;;FREYSSENET;44.6886194228,4.54695114844
06145;TOURETTE DU CHATEAU;06830;;TOURETTE DU CHATEAU;43.8782752079,7.13734511498
07093;GENESTELLE;07530;;GENESTELLE;44.7366148286,4.38522824539
06147;TOURRETTE LEVENS;06690;;TOURRETTE LEVENS;43.7860737213,7.2725568209
07098;GOURDON;07000;;GOURDON;44.7294058074,4.45478498235
06153;VALDEBLORE;06420;;VALDEBLORE;44.1127596533,7.19571891201
07100;GRAVIERES;07140;;GRAVIERES;44.4213974082,4.07179678867
06163;TENDE;06430;;TENDE;44.0997669286,7.54053179417
07103;ST JULIEN D INTRES;07310;INTRES;ST JULIEN D INTRES;44.9864739922,4.3441511813
06163;TENDE;06430;ST DALMAS DE TENDE;TENDE;44.0997669286,7.54053179417
07105;ISSANLAS;07660;;ISSANLAS;44.7669383227,4.01543417126
07015;ARRAS SUR RHONE;07370;;ARRAS SUR RHONE;45.1436776654,4.8036312124
07106;ISSARLES;07470;;ISSARLES;44.8523471555,4.05339793965
07017;LES ASSIONS;07140;;LES ASSIONS;44.4254776855,4.1848933711
07110;JOYEUSE;07260;;JOYEUSE;44.470531994,4.24753667585
07019;AUBENAS;07200;;AUBENAS;44.6102127084,4.39638981424
07113;LABASTIDE DE VIRAC;07150;;LABASTIDE DE VIRAC;44.3533257557,4.41978848183
07022;BAIX;07210;;BAIX;44.7063788805,4.75106497533
07114;LABATIE D ANDAURE;07570;;LABATIE D ANDAURE;45.0327655678,4.49525714027
07024;BANNE;07460;;BANNE;44.3607782702,4.15113804507
07116;LABEGUDE;07200;;LABEGUDE;44.6420481125,4.35738052578
07027;BEAUCHASTEL;07800;;BEAUCHASTEL;44.8294995047,4.79715382132
07133;LARNAS;07220;;LARNAS;44.4543456079,4.59606913482
07031;BERRIAS ET CASTELJAU;07460;CASTELJAU;BERRIAS ET CASTELJAU;44.3832302552,4.20749715425
07136;LAVEYRUNE;48250;;LAVEYRUNE;44.6207258816,3.91933819175
07042;BOURG ST ANDEOL;07700;;BOURG ST ANDEOL;44.3830866916,4.61398365069
07138;LAVILLEDIEU;07170;;LAVILLEDIEU;44.5821673927,4.44782050169
07060;CHATEAUNEUF DE VERNOUX;07240;;CHATEAUNEUF DE VERNOUX;44.9249240478,4.64219110032
07141;LENTILLERES;07200;;LENTILLERES;44.6092419896,4.29820132309
07065;CHIROLS;07380;;CHIROLS;44.6879981327,4.2951862476
07143;LIMONY;07340;;LIMONY;45.3534326814,4.75026547747
07070;CORNAS;07130;;CORNAS;44.9664601048,4.84063933956
07144;LOUBARESSE;07110;;LOUBARESSE;44.5912762985,4.05088477316
07071;COUCOURON;07470;;COUCOURON;44.7949192399,3.96166497009
07157;MEYSSE;07400;;MEYSSE;44.6193386638,4.71649252868
07074;CREYSSEILLES;07000;;CREYSSEILLES;44.7598496931,4.53023781121
07163;MONTSELGUES;07140;;MONTSELGUES;44.5332760746,4.0037872182
07080;DEVESSET;07320;;DEVESSET;45.0660987902,4.39288168953
07165;BELSENTES;07160;ST JULIEN LABROUSSE;BELSENTES;44.9277079206,4.47689363843
07082;DORNAS;07160;;DORNAS;44.8519150741,4.35842422121
07168;ORGNAC L AVEN;07150;;ORGNAC L AVEN;44.3101002443,4.42369715287
07084;ECLASSAN;07370;;ECLASSAN;45.1606533164,4.74888485543
07173;PEREYRES;07450;;PEREYRES;44.7797076255,4.26098772626
07086;ETABLES;07300;;ETABLES;45.0948570024,4.73950529738
07176;PLANZOLLES;07230;;PLANZOLLES;44.4862153265,4.15764539553
07089;FELINES;07340;;FELINES;45.3160676288,4.72706276274
07179;POURCHERES;07000;;POURCHERES;44.7392683074,4.50440952703
07096;GLUIRAS;07190;;GLUIRAS;44.8455602063,4.52583208054
07183;PRADONS;07120;;PRADONS;44.473019743,4.37584445661
07097;GLUN;07300;;GLUN;45.0070163516,4.82465206981
07187;PRUNET;07110;;PRUNET;44.5954398585,4.25387564472
07101;GROSPIERRES;07120;;GROSPIERRES;44.3930827383,4.28692737418
07191;ROCHEMAURE;07400;;ROCHEMAURE;44.589264353,4.69211996285
07103;ST JULIEN D INTRES;07320;INTRES;ST JULIEN D INTRES;44.9864739922,4.3441511813
07195;LA ROCHETTE;07310;;LA ROCHETTE;44.9217587491,4.23164949821
07104;ISSAMOULENC;07190;;ISSAMOULENC;44.7883137241,4.45570599159
07196;ROCLES;07110;;ROCLES;44.5680037839,4.20813131738
07105;ISSANLAS;07510;;ISSANLAS;44.7669383227,4.01543417126
07197;ROIFFIEUX;07100;;ROIFFIEUX;45.2189397431,4.64922144398
07107;JAUJAC;07380;;JAUJAC;44.6298203979,4.23815139749
07219;ST BAUZILE;07210;;ST BAUZILE;44.672668231,4.66869584538
07109;JOANNAS;07110;;JOANNAS;44.5725478202,4.24633374271
07220;ST CHRISTOL;07160;;ST CHRISTOL;44.8696306888,4.43824066016
07111;JUVINAS;07600;;JUVINAS;44.7043758122,4.3072836289
07230;ST ETIENNE DE BOULOGNE;07200;;ST ETIENNE DE BOULOGNE;44.7003919648,4.47316819572
07126;LAGORCE;07150;;LAGORCE;44.4449016448,4.43141639823
07232;ST ETIENNE DE LUGDARES;07590;;ST ETIENNE DE LUGDARES;44.6472996058,3.97320731219
07137;LAVILLATTE;07660;;LAVILLATTE;44.7411283435,3.95196079179
07235;STE EULALIE;07510;;STE EULALIE;44.8287147176,4.18597793288
07142;LESPERON;07660;;LESPERON;44.7342873614,3.89547616799
07237;ST FORTUNAT SUR EYRIEUX;07360;;ST FORTUNAT SUR EYRIEUX;44.8349868514,4.68914271532
07145;LUSSAS;07170;;LUSSAS;44.6192177092,4.46630461903
07244;ST JEAN CHAMBRE;07240;;ST JEAN CHAMBRE;44.9083362092,4.5616408271
07146;LYAS;07000;;LYAS;44.7568405764,4.59691440375
07247;ST JEAN LE CENTENIER;07580;;ST JEAN LE CENTENIER;44.5873773407,4.53812653504
07150;MARIAC;07160;;MARIAC;44.8859638189,4.35337034088
07253;ST JULIEN DU GUA;07190;;ST JULIEN DU GUA;44.7707970545,4.44037521655
07156;MEYRAS;07380;;MEYRAS;44.677562906,4.26001410237
07261;ST LAURENT DU PAPE;07800;;ST LAURENT DU PAPE;44.8232083643,4.7449478067
07158;MEZILHAC;07530;;MEZILHAC;44.8068921216,4.34184721755
07267;ST MARTIAL;07310;;ST MARTIAL;44.8627438374,4.25132239874
07188;QUINTENAS;07290;;QUINTENAS;45.1922513246,4.69504598366
07269;ST MARTIN DE VALAMAS;07310;;ST MARTIN DE VALAMAS;44.9365910249,4.37076169199
07198;ROMPON;07800;;ROMPON;44.7787195427,4.73009856646
07273;ST MAURICE D IBIE;07170;;ST MAURICE D IBIE;44.4835993539,4.4824459032
07199;ROSIERES;07260;;ROSIERES;44.492135712,4.26203943269
07275;ST MELANY;07260;;ST MELANY;44.5391165984,4.12911827009
07201;RUOMS;07120;;RUOMS;44.4479030757,4.34786189328
07277;ST MICHEL DE BOULOGNE;07200;;ST MICHEL DE BOULOGNE;44.6991000225,4.4327463684
07202;SABLIERES;07260;;SABLIERES;44.5437864312,4.06325976737
07278;ST MICHEL DE CHABRILLANOUX;07360;;ST MICHEL DE CHABRILLANOUX;44.8373734527,4.61203758015
07203;SAGNES ET GOUDOULET;07450;;SAGNES ET GOUDOULET;44.8014042397,4.215812246
07300;ST THOME;07220;;ST THOME;44.5023905897,4.61908212557
07204;ST AGREVE;07320;;ST AGREVE;45.0052980637,4.41285687419
07312;SECHERAS;07610;;SECHERAS;45.1291892251,4.77685404459
07213;ST ANDRE LACHAMP;07230;;ST ANDRE LACHAMP;44.5075453223,4.15221275695
07313;SERRIERES;07340;;SERRIERES;45.313905067,4.7629922758
07215;ST BARTHELEMY LE MEIL;07160;;ST BARTHELEMY LE MEIL;44.884662739,4.47884532485
07334;LES VANS;07140;;LES VANS;44.392206287,4.11524168722
07216;ST BARTHELEMY GROZON;07270;;ST BARTHELEMY GROZON;44.9596196474,4.64950098004
07334;LES VANS;07140;BRAHIC;LES VANS;44.392206287,4.11524168722
07218;ST BASILE;07270;;ST BASILE;44.9490355283,4.56160011901
07337;VERNOSC LES ANNONAY;07430;;VERNOSC LES ANNONAY;45.2215835502,4.72347943452
07229;ST DIDIER SOUS AUBENAS;07200;;ST DIDIER SOUS AUBENAS;44.6117595327,4.42022719051
07343;VINEZAC;07110;;VINEZAC;44.5464277181,4.33294323997
07231;ST ETIENNE DE FONTBELLON;07200;;ST ETIENNE DE FONTBELLON;44.5985890529,4.37388980251
08023;ARTAISE LE VIVIER;08390;;ARTAISE LE VIVIER;49.5719309826,4.89264459284
07238;ST GENEST DE BEAUZON;07230;;ST GENEST DE BEAUZON;44.4451273836,4.18697019048
08024;ASFELD;08190;;ASFELD;49.473325858,4.12377173054
07243;ST JACQUES D ATTICIEUX;07340;;ST JACQUES D ATTICIEUX;45.3318263343,4.66333060833
08025;ATTIGNY;08130;;ATTIGNY;49.4761720465,4.58492485149
07251;ST JOSEPH DES BANCS;07530;;ST JOSEPH DES BANCS;44.748161488,4.41397525518
08028;AUBRIVES;08320;;AUBRIVES;50.0873542875,4.76694917171
07254;ST JULIEN DU SERRE;07200;;ST JULIEN DU SERRE;44.6600211072,4.40395881158
08029;AUFLANCE;08370;;AUFLANCE;49.6152631354,5.29558462267
07262;ST LAURENT BAINS LAVAL D AURELLE;07590;ST LAURENT LES BAINS;ST LAURENT BAINS LAVAL D AURELLE;44.5971365641,3.95806929863
08031;AURE;08400;;AURE;49.2765437387,4.6239215772
07263;ST LAURENT SOUS COIRON;07170;;ST LAURENT SOUS COIRON;44.6641637879,4.48470756924
08034;AUTRECOURT ET POURRON;08210;;AUTRECOURT ET POURRON;49.6066112918,5.01792506561
07264;ST MARCEL D ARDECHE;07700;;ST MARCEL D ARDECHE;44.3299965394,4.60656490626
08036;AUTRY;08250;;AUTRY;49.265704992,4.8311535079
07274;ST MAURICE EN CHALENCON;07190;;ST MAURICE EN CHALENCON;44.8548081951,4.58245400667
08048;BARBY;08300;;BARBY;49.5250969786,4.31538215563
07276;ST MICHEL D AURANCE;07160;;ST MICHEL D AURANCE;44.8987179716,4.45675877839
08049;BAR LES BUZANCY;08240;;BAR LES BUZANCY;49.446594391,4.95764414152
07279;ST MONTAN;07220;;ST MONTAN;44.4341193457,4.63258472487
08053;BAZEILLES;08140;;BAZEILLES;49.6774342411,4.98515455089
07283;ST PIERRE LA ROCHE;07400;;ST PIERRE LA ROCHE;44.6539287603,4.6218849184
08053;BAZEILLES;08140;RUBECOURT ET LAMECOURT;BAZEILLES;49.6774342411,4.98515455089
07288;ST PRIEST;07000;;ST PRIEST;44.7131469303,4.53562187216
08060;BERGNICOURT;08300;;BERGNICOURT;49.4194188436,4.24742333455
07294;ST SAUVEUR DE CRUZIERES;07460;;ST SAUVEUR DE CRUZIERES;44.2949958385,4.25831849321
08073;BOSSUS LES RUMIGNY;08290;;BOSSUS LES RUMIGNY;49.8398418664,4.25581170778
07296;ST SERNIN;07200;;ST SERNIN;44.5764544041,4.38197564257
08074;BOUCONVILLE;08250;;BOUCONVILLE;49.2583527847,4.77291946342
07303;ST VINCENT DE DURFORT;07360;;ST VINCENT DE DURFORT;44.7919043427,4.63828690293
08078;BOURG FIDELE;08230;;BOURG FIDELE;49.8889233145,4.55443692603
07308;SARRAS;07370;;SARRAS;45.1872505321,4.78407766188
08088;BULSON;08450;;BULSON;49.6288213726,4.91421651084
07310;SAVAS;07430;;SAVAS;45.3013144956,4.67282946981
08096;CHALANDRY ELAIRE;08160;;CHALANDRY ELAIRE;49.7077474752,4.75646154251
07311;SCEAUTRES;07400;;SCEAUTRES;44.6167012065,4.60776940667
08099;CHAMPIGNEUL SUR VENCE;08430;;CHAMPIGNEUL SUR VENCE;49.7043891652,4.66376922101
07325;UCEL;07200;;UCEL;44.6426743916,4.38805305163
08100;CHAMPLIN;08260;;CHAMPLIN;49.8350055566,4.32636290916
07328;VAGNAS;07150;;VAGNAS;44.3596132039,4.34424564679
08110;LE CHATELET SUR SORMONNE;08150;;LE CHATELET SUR SORMONNE;49.8401358132,4.51748909775
07332;VALVIGNERES;07400;;VALVIGNERES;44.5005207324,4.56110237736
08113;CHAUMONT PORCIEN;08220;;CHAUMONT PORCIEN;49.6486344865,4.23823742678
07334;LES VANS;07140;CHASSAGNES;LES VANS;44.392206287,4.11524168722
08115;CHEMERY CHEHERY;08450;CHEMERY SUR BAR;CHEMERY CHEHERY;49.6121866829,4.86796266494
07335;VAUDEVANT;07410;;VAUDEVANT;45.1081841616,4.60737715144
08122;CHOOZ;08600;;CHOOZ;50.0907731291,4.80080378655
07336;VERNON;07260;;VERNON;44.506232057,4.2261837868
08124;CLAVY WARBY;08460;;CLAVY WARBY;49.7451097313,4.54792951567
07341;VILLENEUVE DE BERG;07170;;VILLENEUVE DE BERG;44.549017078,4.50337369457
08126;CONDE LES HERPY;08360;;CONDE LES HERPY;49.5425026908,4.19795434047
07345;VION;07610;;VION;45.1117422465,4.79854763187
08130;CONTREUVE;08400;;CONTREUVE;49.3619911598,4.61559567137
08004;AIRE;08190;;AIRE;49.4707483815,4.16388872575
08139;DEVILLE;08800;;DEVILLE;49.8750647112,4.69366948073
08011;ANCHAMPS;08500;;ANCHAMPS;49.9247359313,4.66426745168
08144;DOUX;08300;;DOUX;49.516603776,4.42838018465
08013;ANGECOURT;08450;;ANGECOURT;49.6350718482,4.97725786194
08163;FAISSAULT;08270;;FAISSAULT;49.6089496847,4.50566340675
08018;ARDEUIL ET MONTFAUXELLES;08400;;ARDEUIL ET MONTFAUXELLES;49.26723401,4.70481330264
08172;FLIGNY;08380;;FLIGNY;49.8835632271,4.26492638229
08032;AUSSONCE;08310;;AUSSONCE;49.3455509602,4.32720413528
08173;FLIZE;08160;BOUTANCOURT;FLIZE;49.6952977524,4.77517346922
08040;LES AYVELLES;08000;;LES AYVELLES;49.7217923857,4.75240985606
08179;FRANCHEVAL;08140;;FRANCHEVAL;49.720311451,5.07545452741
08045;BALLAY;08400;;BALLAY;49.4216971928,4.75197348184
08182;LE FRETY;08290;;LE FRETY;49.734490847,4.26196353021
08047;BARBAISE;08430;;BARBAISE;49.6766851443,4.57966392629
08185;FUMAY;08170;;FUMAY;49.9726262845,4.66006812542
08056;BEFFU ET LE MORTHOMME;08250;;BEFFU ET LE MORTHOMME;49.372094938,4.89223564312
08192;GIVRON;08220;;GIVRON;49.6564549525,4.29619414129
08061;LA BERLIERE;08240;;LA BERLIERE;49.526668904,4.93724494551
08193;GIVRY;08130;;GIVRY;49.4889972004,4.53139534067
08062;BERTONCOURT;08300;;BERTONCOURT;49.5391943846,4.40140045221
08198;GRANDPRE;08250;;GRANDPRE;49.3557413178,4.86541939254
08067;BLAGNY;08110;;BLAGNY;49.6239121874,5.19807738578
08198;GRANDPRE;08250;TERMES;GRANDPRE;49.3557413178,4.86541939254
08070;BLANZY LA SALONNAISE;08190;;BLANZY LA SALONNAISE;49.4878479316,4.19048684048
08203;GUIGNICOURT SUR VENCE;08430;;GUIGNICOURT SUR VENCE;49.6886825808,4.63302128326
08077;BOURCQ;08400;;BOURCQ;49.3822218647,4.61799279484
08204;GUINCOURT;08130;;GUINCOURT;49.5563378123,4.62813425759
08090;CARIGNAN;08110;;CARIGNAN;49.6387329311,5.1718269254
08205;HAGNICOURT;08430;;HAGNICOURT;49.6109645612,4.58423752594
08092;CAUROY;08310;;CAUROY;49.3512411409,4.45940865282
08207;HAM SUR MEUSE;08600;;HAM SUR MEUSE;50.0894618864,4.78296461056
08103;CHARBOGNE;08130;;CHARBOGNE;49.5061470622,4.59006670557
08212;HARCY;08150;;HARCY;49.8527000599,4.55802852688
08104;CHARDENY;08400;;CHARDENY;49.4194659277,4.59579314559
08214;HARGNIES;08170;;HARGNIES;50.0091831933,4.79099611271
08105;CHARLEVILLE MEZIERES;08000;;CHARLEVILLE MEZIERES;49.7752965803,4.71724655966
08220;HAUVINE;08310;;HAUVINE;49.3159803218,4.41170841421
08113;CHAUMONT PORCIEN;08220;WADIMONT;CHAUMONT PORCIEN;49.6486344865,4.23823742678
08223;HERBEUVAL;08370;;HERBEUVAL;49.6014736891,5.35301379214
08133;COUCY;08300;;COUCY;49.5095800024,4.46207840046
08225;HERPY L ARLESIENNE;08360;;HERPY L ARLESIENNE;49.5259538637,4.18823352667
08148;L ECAILLE;08300;;L ECAILLE;49.4095997981,4.20955430997
08229;HOUDILCOURT;08190;;HOUDILCOURT;49.4226756545,4.1256886512
08151;ECORDAL;08130;;ECORDAL;49.5343083794,4.58778435914
08238;JONVAL;08130;;JONVAL;49.5691976392,4.66304334779
08154;ESTREBAY;08260;;ESTREBAY;49.8253440088,4.34568774297
