Commune;Code Postal;Code INSEE
Montrevel-En-Bresse;1340;1266
Nurieux-Volognat;1460;1267
Murs-Et-Gelignieux;1300;1268
Nantua;1130;1269
Nattages;1300;1271
Neuville-Les-Dames;1400;1272
Neuville-Sur-Ain;1160;1273
Les Neyrolles;1130;1274
Neyron;1700;1275
Nievroz;1120;1276
Nivollet-Montgriffon;1230;1277
Oncieu;1230;1279
Ordonnaz;1510;1280
Ornex;1210;1281
Outriaz;1430;1282
Oyonnax;1100;1283
Ozan;1190;1284
Parcieux;1600;1285
Parves;1300;1286
Peron;1630;1288
Peronnas;1960;1289
Perouges;1800;1290
Perrex;1540;1291
Le Petit-Abergement;1260;1292
Peyriat;1430;1293
Peyrieu;1300;1294
Peyzieux-Sur-Saone;1140;1295
Pirajoux;1270;1296
Pizay;1120;1297
Plagne;1130;1298
Le Plantay;1330;1299
Le Poizat;1130;1300
Polliat;1310;1301
Pollieu;1350;1302
Poncin;1450;1303
Pont-D'Ain;1160;1304
Pont-De-Vaux;1190;1305
Pont-De-Veyle;1290;1306
Port;1460;1307
Pougny;1550;1308
Pouillat;1250;1309
Premeyzel;1300;1310
Premillieu;1110;1311
Pressiat;1370;1312
Prevessin-Moens;1280;1313
Priay;1160;1314
Pugieu;1510;1316
Ramasse;1250;1317
Rance;1390;1318
Relevant;1990;1319
Replonges;1750;1320
Revonnas;1250;1321
Reyrieux;1600;1322
Reyssouze;1190;1323
Rignieux-Le-Franc;1800;1325
Romans;1400;1328
Rossillon;1510;1329
Ruffieu;1260;1330
Saint-Alban;1450;1331
Saint-Andre-De-Bage;1380;1332
Saint-Andre-De-Corcy;1390;1333
Saint-Andre-D'Huiriat;1290;1334
Saint-Andre-Le-Bouchoux;1240;1335
Saint-Andre-Sur-Vieux-Jonc;1960;1336
Saint-Benigne;1190;1337
Saint-Benoit;1300;1338
Saint-Bernard;1600;1339
Saint-Bois;1300;1340
Saint-Champ;1300;1341
Sainte-Croix;1120;1342
Saint-Cyr-Sur-Menthon;1380;1343
Saint-Denis-Les-Bourg;1000;1344
Saint-Denis-En-Bugey;1500;1345
Saint-Didier-D'Aussiat;1340;1346
Saint-Didier-De-Formans;1600;1347
Saint-Didier-Sur-Chalaronne;1140;1348
Saint-Eloi;1800;1349
Saint-Etienne-Du-Bois;1370;1350
Saint-Etienne-Sur-Chalaronne;1140;1351
Saint-Etienne-Sur-Reyssouze;1190;1352
Sainte-Euphemie;1600;1353
Saint-Genis-Pouilly;1630;1354
Saint-Genis-Sur-Menthon;1380;1355
Saint-Georges-Sur-Renon;1400;1356
Saint-Germain-De-Joux;1130;1357
Saint-Germain-Les-Paroisses;1300;1358
Saint-Germain-Sur-Renon;1240;1359
Saint-Jean-De-Gonville;1630;1360
Saint-Jean-De-Niost;1800;1361
Saint-Jean-De-Thurigneux;1390;1362
Saint-Jean-Le-Vieux;1640;1363
Saint-Jean-Sur-Reyssouze;1560;1364
Saint-Jean-Sur-Veyle;1290;1365
Sainte-Julie;1150;1366
Saint-Julien-Sur-Reyssouze;1560;1367
Saint-Julien-Sur-Veyle;1540;1368
Saint-Just;1250;1369
Saint-Laurent-Sur-Saone;1750;1370
Saint-Marcel;1390;1371
Saint-Martin-De-Bavel;1510;1372
Saint-Martin-Du-Frene;1430;1373
Saint-Martin-Du-Mont;1160;1374
Saint-Martin-Le-Chatel;1310;1375
Saint-Maurice-De-Beynost;1700;1376
Saint-Maurice-De-Gourdans;1800;1378
Saint-Maurice-De-Remens;1500;1379
Saint-Nizier-Le-Bouchoux;1560;1380
Saint-Nizier-Le-Desert;1320;1381
Sainte-Olive;1330;1382
Saint-Paul-De-Varax;1240;1383
Saint-Rambert-En-Bugey;1230;1384
Saint-Remy;1310;1385
Saint-Sorlin-En-Bugey;1150;1386
Saint-Sulpice;1340;1387
Saint-Trivier-De-Courtes;1560;1388
Saint-Trivier-Sur-Moignans;1990;1389
Saint-Vulbas;1150;1390
Salavre;1270;1391
Samognat;1580;1392
Sandrans;1400;1393
Sault-Brenaz;1150;1396
Sauverny;1220;1397
Savigneux;1480;1398
Segny;1170;1399
Seillonnaz;1470;1400
Sergy;1630;1401
Sermoyer;1190;1402
Serrieres-De-Briord;1470;1403
Serrieres-Sur-Ain;1450;1404
Servas;1960;1405
Servignat;1560;1406
Seyssel;1420;1407
Simandre-Sur-Suran;1250;1408
Songieu;1260;1409
Sonthonnax-La-Montagne;1580;1410
Souclin;1150;1411
Sulignat;1400;1412
Surjoux;1420;1413
Sutrieu;1260;1414
Talissieu;1510;1415
Tenay;1230;1416
Thezillieu;1110;1417
Thil;1120;1418
Thoiry;1710;1419
Thoissey;1140;1420
Torcieu;1230;1421
Tossiat;1250;1422
Toussieux;1600;1423
Tramoyes;1390;1424
La Trancliere;1160;1425
Treffort-Cuisiat;1370;1426
Trevoux;1600;1427
Valeins;1140;1428
Vandeins;1660;1429
Varambon;1160;1430
Vaux-En-Bugey;1150;1431
Verjon;1270;1432
Vernoux;1560;1433
Versailleux;1330;1434
Versonnex;1210;1435
Vesancy;1170;1436
Vescours;1560;1437
Vesines;1570;1439
Vieu-D'Izenave;1430;1441
Vieu;1260;1442
Villars-Les-Dombes;1330;1443
Villebois;1150;1444
Villemotier;1270;1445
Villeneuve;1480;1446
Villereversure;1250;1447
Villes;1200;1448
Villette-Sur-Ain;1320;1449
Villieu-Loyes-Mollon;1800;1450
Viriat;1440;1451
Virieu-Le-Grand;1510;1452
Virieu-Le-Petit;1260;1453
Virignin;1300;1454
Vongnes;1350;1456
Vonnas;1540;1457
Abbecourt;2300;2001
Achery;2800;2002
Acy;2200;2003
Agnicourt-Et-Sechelles;2340;2004
Aguilcourt;2190;2005
Aisonville-Et-Bernoville;2110;2006
Aizelles;2820;2007
Aizy-Jouy;2370;2008
Alaincourt;2240;2009
Allemant;2320;2010
Ambleny;2290;2011
Ambrief;2200;2012
Amifontaine;2190;2013
Amigny-Rouy;2700;2014
Ancienville;2600;2015
Andelain;2800;2016
Anguilcourt-Le-Sart;2800;2017
Anizy-Le-Chateau;2320;2018
Annois;2480;2019
Any-Martin-Rieux;2500;2020
Archon;2360;2021
Arcy-Sainte-Restitue;2130;2022
Armentieres-Sur-Ourcq;2210;2023
Arrancy;2860;2024
Artemps;2480;2025
Artonges;2330;2026
Assis-Sur-Serre;2270;2027
Athies-Sous-Laon;2840;2028
Attilly;2490;2029
Aubencheul-Aux-Bois;2420;2030
Aubenton;2500;2031
Aubigny-Aux-Kaisnes;2590;2032
Aubigny-En-Laonnois;2820;2033
Audignicourt;2300;2034
Audigny;2120;2035
Augy;2220;2036
Aulnois-Sous-Laon;2000;2037
Les Autels;2360;2038
Autremencourt;2250;2039
Autreppes;2580;2040
Autreville;2300;2041
Azy-Sur-Marne;2400;2042
Bagneux;2290;2043
Bancigny;2140;2044
Barenton-Bugny;2000;2046
Barenton-Cel;2000;2047
Barenton-Sur-Serre;2270;2048
Barisis;2700;2049
Barzy-En-Thierache;2170;2050
Barzy-Sur-Marne;2850;2051
Bassoles-Aulers;2380;2052
Baulne-En-Brie;2330;2053
Bazoches-Sur-Vesles;2220;2054
Beaume;2500;2055
Beaumont-En-Beine;2300;2056
Beaurevoir;2110;2057
Beaurieux;2160;2058
Beautor;2800;2059
Beauvois-En-Vermandois;2590;2060
Becquigny;2110;2061
Belleau;2400;2062
Bellenglise;2420;2063
Belleu;2200;2064
Bellicourt;2420;2065
Benay;2440;2066
Bergues-Sur-Sambre;2450;2067
Berlancourt;2250;2068
Berlise;2340;2069
Bernot;2120;2070
Berny-Riviere;2290;2071
Berrieux;2820;2072
Berry-Au-Bac;2190;2073
Bertaucourt-Epourdon;2800;2074
Berthenicourt;2240;2075
Bertricourt;2190;2076
Berzy-Le-Sec;2200;2077
Besme;2300;2078
Besmont;2500;2079
Besny-Et-Loizy;2870;2080
Bethancourt-En-Vaux;2300;2081
Beugneux;2210;2082
Beuvardes;2130;2083
Bezu-Le-Guery;2310;2084
Bezu-Saint-Germain;2400;2085
Bichancourt;2300;2086
Bieuxy;2290;2087
Bievres;2860;2088
Billy-Sur-Aisne;2200;2089
Billy-Sur-Ourcq;2210;2090
Blanzy-Les-Fismes;2160;2091
Blerancourt;2300;2093
Blesmes;2400;2094
Bohain-En-Vermandois;2110;2095
Bois-Les-Pargny;2270;2096
Boncourt;2350;2097
Bonneil;2400;2098
Bonnesvalyn;2400;2099
Bony;2420;2100
Bosmont-Sur-Serre;2250;2101
Bouconville-Vauclair;2860;2102
Boue;2450;2103
Bouffignereux;2160;2104
Bouresches;2400;2105
Bourg-Et-Comin;2160;2106
Bourguignon-Sous-Coucy;2300;2107
Bourguignon-Sous-Montbavin;2000;2108
La Bouteille;2140;2109
Braine;2220;2110
Brancourt-En-Laonnois;2320;2111
Brancourt-Le-Grand;2110;2112
Brasles;2400;2114
Braye-En-Laonnois;2000;2115
Braye-En-Thierache;2140;2116
Bray-Saint-Christophe;2480;2117
Braye;2880;2118
Brecy;2210;2119
Brenelle;2220;2120
Breny;2210;2121
Brie;2870;2122
Brissay-Choigny;2240;2123
Brissy-Hamegicourt;2240;2124
Brumetz;2810;2125
Brunehamel;2360;2126
Bruyeres-Sur-Fere;2130;2127
Bruyeres-Et-Montberault;2860;2128
Bruys;2220;2129
Bucilly;2500;2130
Bucy-Le-Long;2880;2131
Bucy-Les-Cerny;2870;2132
Bucy-Les-Pierrepont;2350;2133
Buire;2500;2134
Buironfosse;2620;2135
Burelles;2140;2136
Bussiares;2810;2137
Buzancy;2200;2138
